,code,name,cr,Prerequisites,description,cross_listes,when_offered,Notes
546,CENG 491/4981,Senior Project II,2 cr," ,CENG 4980, , , any three courses from the following list: ,CENG 4410, , , ,CENG 4420, , , ,CENG 4440, , , ,CENG 4460, ,", An applied cap stone project. Continuation of senior project I topics is encouraged. Actual construction projects are selected by groups of students upon advisors’ approval for analysis. The management and technology aspects of construction are simulated and investigated., N," Offered in fall and spring.,",N
547,CENG 579/5121,"Assessment, Protection and Repair of Structures",3 cr, N," Types, mechanisms and analyses of deterioration of concrete and steel structures, approaches and means of damage assessment, assessing structural stability and integrity of existing structures, development of sound strategy for repair and restoration. Protection and repair materials, techniques, design and economic aspects", N, N,N
548,CENG 000/5151,Advanced Design of Steel and Composite Structures,3 cr," Dept. Approval for undergraduate students,"," Structural steel: LRFD design philosophy, structural steel systems, vertical and lateral resisting systems, construction of steel structures. Elements design: structural behaviour of members, local buckling and cross section classification, tension members, struts and axially loaded columns, bracing systems, beams, beam-columns and framed structures. Connections (bolted and welded): types of bolts, bolts subject to shear, tension and combined shear and tension, eccentric bolted connections, types of welds, weld subject to shear, tension and combined shear and tension, eccentric welded connections. Miscellaneous structural elements and systems: stairs, end gable columns and girts, portal frames, plate girders, composite steel concrete elements", N, N,N
549,CENG 000/5152,Advanced Composite Materials in Infrastructure Applications,3 cr, Department approval for undergraduate students or Admission to CENG graduate programmes," Advanced Composite Materials (ACMs) and Fibre Reinforced Polymers (FRPs), Mechanical properties, Flexural strengthening of reinforced concrete slabs using FRP strips, Flexural and shear strengthening of beams using FRP strips and sheets, strengthening of columns using FRP sheets, Concrete reinforced with FRP bars, ACMs new structures", N, N,N
550,CENG 577/5210,The Finite Element Method in Structural Engineering,3 cr, Prerequisite: consent of instructor.," Fundamentals of the Finite Element Method (Equilibrium Equations, Virtual Work and Potential Energy, Interpolation and Shape Functions, Convergence, and Computer Programming), One-Dimensional Elements (Truss, Beam, and Frame Elements), Two-Dimensional Elements (Plane Stress and Plane Strain Elements, and Isoparametric Formulations), Three-Dimensional Elements (General and Axisymmetric Solids), Surface Elements (Flexure in Plates, General and Axisymmetric Shells), Analyses (Vibration Analysis, Stability Analysis, and Nonlinear Analysis), and Finite Element Surface Packages", N, N,N
551,CENG 573/5220,Advanced Construction and Building Materials,3 cr, N," Recent developments in the areas of concrete, highway materials and metals. Examples are concrete admixtures, light weight aggregates, polymers, prestressed concrete, soil stabilizers, bituminous materials and high strength low alloy steels. Advanced mechanics of components incorporating innovative materials. Environmental-friendly use of materials and recycling of solid waste", N, N,N
552,CENG 571/5225,Advanced Systems Analysis for Construction Engineering,3 cr, Consent of instructor.," Systems analysis approach; systems modeling; systems approach to engineering and management; closed versus open systems; modeling construction organizations as open systems. Decision analysis: Artificial intelligence techniques: evolutionary algorithms, prediction and behavior detection, regression analysis, artificial neural networks, knowledge representation, fuzzy logic and fuzzy sets, fuzzy knowledge based systems.", N, N," Not open for students with ,MENG 5251, , "
553,CENG 574/5226,Methods and Equipment for Construction,3 cr, N," Civil construction; methods, materials, tools and equipment; traditional and modern construction technologies. Evaluation and selection of appropriate construction technology. Value engineering. Sizing, operation and maintenance of construction equipment. (Not open for AUC graduates", N, N,N
554,CENG 576/5227,Advanced Systems for Construction,3 cr, Consent of instructor.," Construction details, materials, equipment, manufacture, fabrication and erection of special building structures: high rise buildings, wide span structures, underground buildings, large scale projects, specialized buildings, etc. Construction organization, advanced construction materials with cost implications; Advanced Delivery Techniques for projects; Company organization and funding of projects", N, N,N
555,CENG 565/5241,Infrastructure Asset Management,3 cr, Consent of instructor.," Urban infrastructure systems. It presents a generic framework for asset management that includes: information management and decision support systems, condition assessment, deterioration prediction, life cycle cost analysis, risk management, performance measures, and budget allocation. Elements of this framework are presented within the context of civil infrastructure systems; Roads, Buildings, Water networks, and Sewer networks", N, N,N
556,CENG 566/5242,Simulation Applications in Construction,3 cr, Consent of instructor," Simulation Paradigms, discrete event simulation, systems dynamics simulation, agent based simulation, elementary queuing theory applications in construction, validating simulation models, visualizing techniques in simulation, sampling from non-uniform distributions, introduction to special purpose simulation languages for construction, simulation modeling techniques and analysis", N, N,N
557,CENG 567/5243,Construction Leadership and Management Skills,3 cr, Prerequisite: consent of instructor.," Successful construction practices are impacted not only by the technical skills but also by the leadership and management personal skills of the project team. This course outlines indispensable leadership and management skills including time management, communication skills, capacity and team building as well as the ethical components in construction. International and local case studies are provided to illustrate these issues and quantify both the positive and negative impacts. A final project is submitted where with situational analyses and lessons learned.", N, N, Not open for credit for M.S. students
558,CENG 570/5244,Advanced Construction Management,3 cr, Prerequisite: consent of instructor.," The course covers advanced topics in the area of construction management including advanced scheduling techniques, cost schedule integration, bidding models applied to the construction industry emphasizing the difference in view points between owners and contractors, risk in construction, contingency and mark-up allocations, risk versus return relationship including models to determine the cost-of-capital for construction firms and projects", N, N,N
559,CENG 572/5245,Claims and Disputes in the Construction Industry,3 cr, N, The course provides an in-depth coverage of the litigious environment within the construction industry and outlines the appropriate techniques to handle such environment. Claims and disputes from both owners and contractors perspectives are covered. The course also outlines the use of techniques such as scheduling as mechanisms for the efficient resolution of claims, N, N,N
560,CENG 575/5246,"Techniques of Planning, Scheduling and Control",3 cr, N," Project definition and work breakdown structure, scheduling and control models and techniques. Resource allocation and leveling, optimal schedules, documentation and reporting services, time and cost control, progress monitoring and evaluation. Computer applications. (Not open for AUC graduates", N, N,N
561,CENG 578/5247,Resource Management for Construction Projects,3 cr, Consent of instructor.," Resource management as an integral part of the construction management process. Management of materials; scheduling, handling, utilization, costing, accountability, procurement, warehousing, supply chain management, and inventory systems. Management of labor; tabulation, productivity, ergonomics, utilization, costing, and human resource management. Management of equipment; acquisition, production rates, utilization, matching and costing", N, N,N
562,CENG 530/5261,Contracts in Construction Industry,3 cr, N," Introduction to the basic construction industry and its problems. Participants in a construction contract, contract definition, types of contracts, formation principles of a contract, performance or breach of contractual obligations. Analysis and comparison of the different kinds of contracts used in construction. Bidding logistics. Legal organizational structures. Different types and uses of specifications", N, N,N
563,CENG 531/5262,Construction Management,3 cr, N," Introduction to construction management: participants involved types of construction project life cycle. Estimating techniques and procedure: approximate estimating, quantity surveying, detailed estimating procedure, costing of labor, material, equipment, overhead costs, financing costs, cost recording and cost accounts, Quality Management, and Safety Management", N, N,N
564,CENG 532/5263,"Planning, Scheduling and Control",3 cr, N," Project definition and work breakdown structure, scheduling and control models and techniques. Resource allocation and leveling, optimal schedules, documentation and reporting, time and cost control, progress monitoring and evaluation. Computer applications", N, N,N
565,CENG 533/5264,Management for Multi-National Environments,3 cr," ,CENG 5262,"," Complexities of multinational Projects. Challenges in managing multinational Projects; crosscultural differences, communication, standards, approaches to problem solving. Cross-culture differences & engineering firms, avoiding cross-cultural pitfalls, taking advantage of cultural diversity. Distance management. Breaking into foreign markets.", N," Offered in fall and spring.,",N
566,CENG 534/5265,Risk Management and Bidding Strategies,3 cr," ,CENG 5262,"," Introduction to risk and uncertainty. Process of risk management; risk identification, risk analysis (qualitative and quantitative), risk response planning, risk monitoring and control. Tools and techniques; decision trees, PERT, modeling, optimization, Monte Carlo simulation and application. Introduction to risk analysis packages (Crystal Ball, PERT Master). Analyzing the bidding accounting for project risks. Behavior of key competitors, estimating optimum markup.", N," Offered in fall and spring.,",N
567,CENG 535/5266,Claims and Disputes in the Construction Industry,3 cr," ,CENG 5262, , ."," The course provides an in-depth coverage of the litigious environment within the construction industry, appropriate techniques to handle such litigations. Claims and disputes from both owners and contractors perspectives. Techniques of scheduling as mechanisms for the efficient resolution of claims.", N," Offered in fall and spring.,",N
568,CENG 536/5267,Systems Analysis for Construction,3 cr," ,CENG 5263,"," Integration and application of systems science, operations research and systems methodologies. Design, production, and maintenance of efficient and reliable systems. Introduction to mathematical models. The formulation of the linear programming models. Solving of linear programming models using the graphical solution method, simplex technique, transportation and assignment problem. Decision making under uncertainty, minimum cost model, and sensitivity analysis", N, N,N
569,CENG 537/5268,Resource Management for Construction Projects,3 cr, N," Resource management as part of the construction management process. Productivity in construction; conceptual and mathematical formulation of labor, equipment, and materials factors affecting productivity. Management of materials; scheduling, handling, utilization, procurement and acquisition costing, material management information systems, inventory analysis. Management of labor; productivity, ergonomics, utilization, costing, manpower planning and organization. Management of equipment; acquisition, production rates, utilization, matching, costing. Critical project resources", N, N,N
570,CENG 538/5269,Procurement of Assets & Services for Construction Projects,3 cr, N," Articulation of requirements for new facilities and needs, facility definition and delivery, effective search and definition of resources, management of the process of acquisition, negotiation approaches and strategies, alternative solution and value optimization. International and local case studies", N, N,N
571,CENG 599/5290,Research Guidance Thesis,3 cr, N, Consultation on problems related to student thesis. Must be taken twice for credit, N, N,N
572,CENG 580/5291,Independent Study in Construction Engineering,3 cr, N, Independent study in various problem areas of engineering may be assigned to individual students or to groups. Readings assigned and frequent consultations held., N, N, (Students may sign for up to 3 credits towards fulfilling M. Sc. requirements)
573,CENG 592/5292,Advanced Topics in Construction Engineering,3 cr, Prerequisite: consent of instructor., Topics to be chosen every year according to specific interests., N, N,N
574,CENG 611/6211,Structural Stability,3 cr, Consent of instructor.," ,Fundamental concepts in elastic stability: equilibrium equations, stability criteria and post-buckling behavior. Various aspects of instability: buckling of columns, frames, arches, plates and shells, dynamic buckling, nonlinear problems, torsion and flexural buckling. Approximate methods for stability analysis. Interactive buckling phenomena in light metallic constructions", N, N,N
575,CENG 612/6212,Structural Dynamics,3 cr, Consent of instructor.," ,Dynamics of discretized systems; one degree of freedom systems; free and forced vibration; response to base excitation, stochastic excitation, impact. Lumped - mass multidegree systems: free and forced vibration of two degrees of freedom systems in response to harmonic and step functions, pulses, and general type. Matrix formulation for multiple degrees of freedom, natural frequencies, Lagrange equations, modal analysis. Flexural vibrations of beams, plates and frames. Dynamic response to impact and moving loads", N, N,N
576,CENG 613/6213,Earthquake Engineering and Seismic Design,3 cr, Consent of instructor.," ,Earthquake ground motion and response spectra, dynamic response of buildings and structures to seismic loads, lateral load resisting systems, seismic design considerations, drift and lateral stability, code considerations, design of reinforced concrete, masonry and steel structures, design of nonstructural systems, structures with seismic mitigation systems: active and passive damping and base isolation", N, N,N
577,CENG 631/6222,Specialty Materials for Construction,3 cr, Consent of instructor., N, N, N,N
578,CENG 679/6223,"Preserving, Repair and Sustainability of Structures",3 cr," ,CENG 5121, , or Equivalent Course/Experience", N, N, N,N
579,CENG 632/6231,Highways Pavement Systems and Design,3 cr, Consent of instructor., N, N, N,N
580,CENG 699/6290,Research Guidance Dissertation,3 cr, N, Consultation on problems related to student thesis. To be taken 11 times for credit, N, N,N
581,CENG 680/6291,Independent Study in Structural and Material Engineering,3 cr. max, N, Independent study in various problem areas of structural and material engineering may be assigned to individual students or to groups. Readings assigned and frequent consultations held, N, N,N
582,CENG 692/6292,Advanced Selected Topics in Structural and Material Engineering,3 cr, N, Topics chosen according to special interests of faculty and students. May be repeated for credit more than once if content changes, N, N,N
583,CORE 110/1010,Freshman Seminar,3 cr," Taken concurrently with ,RHET 1010, , ."," This course is a cluster of distinct courses (topics may vary semester to semester) with shared goals and learning outcomes. All sections of CORE 1010 aim to introduce students to university-level academic study and the meaning and values of a liberal arts education. Through varied section topics, readings, films and other media, discussions and assignments, CORE 1010 will help students adapt and succeed in today’s university environment, as they develop their skills in critical thinking, information literacy, teamwork, and effective reading and communication. Courses focus on issues of lasting value and current relevance for students, and address questions such as “Who am I?” “What do citizenship and civic responsibility mean?” “How do I know what is true?” and “What is a good life?”", N," Fall and Spring. Summer only for students repeating the course.,",N
584,CORE 199/1099,Selected Topics for Core Curriculum,3 cr, N," Course addressing broad intellectual concerns and accessible to all students, irrespective of major", N, N,N
585,CORE 000/1130,The Human Spirit,3 cr, N," This interdisciplinary course explores the different facets of what it means to be human and how the human spirit is manifest in various human endeavors and situations. Students will discuss or debate readings in various genres, watch films, analyze various perspectives, write, and draw on their own experiences to formulate conclusions about how and why the answers to these essential and enduring questions involve complexity and multiple points of view", N, N,N
586,CORE 000/1140,Community Matters,3 cr, N," This course aims to deepen students’ understanding and broaden their perspective on the issues and methods of civic and community engagement. Students will analyze the needs of various groups and develop a critical, reflective understanding of the role of context, interconnectedness, and respect of d9difference. Some sections may integrate Community Based Learning; please check prior registration", N, N,N
587,CORE 000/2096,Selected Topics for the Core Curriculum in Global Studies,3 cr, N," Course addressing broad intellectual concerns and open to all students, irrespective of major", N, N,N
588,CORE 000/2097,Selected Topics for The Arab World,3 cr, N, Topics investigating diverse regional issues in the Arab world; open for all students irrespective of major, N, N,N
589,CORE 000/2098,Selected Topics on Egypt,3 cr, N, Topics investigating diverse issues relating to Egypt; open for all students irrespective of major, N, N,N
590,CORE 299/2099,Selected Topics for Core Curriculum,3 cr," ,RHET 1000, ,"," Course addressing broad intellectual concerns and accessible to all students, irrespective of major", N, N,N
591,CORE 000/2142,Profiles in Civic Leadership and Civic Project Development,3 cr," ,RHET 1020, ,"," This course uses an interdisciplinary approach to examine human rights, social justice, civic engagement and leadership, with a special focus on the university and the opportunities it can provide for service learning and student leadership. Students will learn about the structure and role of various types of institutions including the state, international and civil society institutions within development planning and practice, as well as fund raising and grant writing. While others work on a Civic Leader Project, MEPI students will develop their ” Civic Service Project”, required formally in their senior year", N, N,N
592,CORE 499/4198,Selected Topic for Core Curriculum,3 cr," ,RHET 2010, ,"," Interdisciplinary seminar addressing broad current topics and concerns from a variety of intellectual and professional perspectives; open and accessible to all senior students, irrespective of major", N, N,N
593,SEMR 111/1011,The Human Quest: Exploring the “Big Questions”,3 cr, N," This is an interdisciplinary survey course aimed at helping new undergraduate students acquire an attitude of engaged curiosity, a widened worldview, and enhanced self expression as they begin to discover how a university education can help them find their places in the world. Using an interdisciplinary approach combining geography, history, biology, political science, anthropology, sociology, literature, and the arts, it aims to introduce students to the process of raising and exploring life’s enduring “Big Questions,” through readings, music, debates, films, and technology, and thus they acquire some of the knowledge, skills, and attitudes needed by a university student in the 21st century", N, N,N
594,SEMR 112/1012,“Who Am I?”: Explorations in Consciousness and Self Across the Disciplines”,3 cr, N," Self-awareness allows us to perceive both limits and possibilities. This course will be a practical and theoretical exploration of different approaches to consciousness and the self in the sciences, psychology, philosophy and religion, among others", N, N,N
595,SEMR 123/1023,"Celebrating Ideas: A Voyage Through Books, film, Art and Theater",3 cr, N," This course aims at exposing students to a wide range of key landmarks in human intellectual and cultural development. This is achieved through reading a number of texts, each important, simulating, often groundbreaking and discussing the ideas and concepts embodied in these texts. The topics and themes raised through the readings will be further explored and enhanced through exposure not just to the written word but through film, art and theater, all modes in which humankind has been able to express its intellectual development and creative energy", N, N,N
596,SEMR 000/1110,Creative Thinking & Problem Solving,3 cr, N, Pathways 2 freshmen level course inter-disciplinary course taught by 5 instructors over 2 sections using a modular approach to themes and content, N, N,N
597,SEMR 410/4018,East-West Dialogue: Cross-Cultural Perceptions and Reflections,3 cr, N," This course provides a unique opportunity for students at AUC to share their educational experience with students in the west. The medium for this shared experience will be videoconferences held over the Internet with university classes in the United States and other Western countries. For each videoconference, we will be reading the same texts as the students at our partner institutions. The videoconferences provide not only the medium for the shared component of this course; they also suggest its substantive theme. For, while we encounter the apparent cultural other over the Internet, we will be exploring with them the question of our relationship to the other- especially how our perceptions of the other have developed over time and how they continue to influence the political interaction between “East” and “West” today."," Same as ,POLS 4018, ,", N," ,SEMR 4018, , cannot be taken as a capstone class “within the major” by political science students"
598,SEMR 411/4028,The Arab Spring in Arab Eyes: Perceptions and Reflections from the Arab World,3 cr, N," This videoconference dialogue course offers a comparative view of the 2011 Egyptian Revolution in relation to the Arab revolts that have swept the region since the beginning of 2011, in what became known as the Arab Spring. This course shall use an interdisciplinary approach to explore the social, economic, political and cultural contexts that led up to these popular uprisings. In this light, AUC will be holding videoconferences with various partner universities and institutions in order for the class to share perspectives and first-hand experiences relating to the Arab Spring with the partners. Specific readings will be assigned by AUC and the partnering universities, offering a general introduction of the countries that will be studied and a specific background with regards to the linkage these countries/geographical areas have with the Arab Spring. This is an interdisciplinary course that can be relevant to students from different backgrounds and disciplines, especially those that have an interest in contemporary Middle East issues", N, N,N
599,SEMR 412/4038,South-South Dialogue: Perceptions and Reflections from the Global South,3 cr, N," This videoconference dialogue course aims at offering a comparative view of and a fresh perspective on the ‘Global South.’ The course shall use an interdisciplinary approach to explore the social, economic, political and cultural contexts of some of the countries/regions that constitute what is known today as the ‘Global South’ in an attempt to outline the commonalities as well as the differences that exist within this global conglomerate of nation-states. In this light, AUC will be holding videoconferences with various partner universities and institutions in order for the class to share perspectives and first-hand experiences relating to the themes and topics of discussion with the partners. Specific readings will be assigned by AUC and the partnering universities to have a general introduction to the countries that will be studied and a specific background on the linkage these countries/geographical areas have with the Global South as an economic and a political amalgam. This is an interdisciplinary course that can be relevant to students from different backgrounds and disciplines, especially those that have an interest in contemporary development issues", N, N,N
600,DSCI 000/1411,Fundamentals of Data Science I,3 cr, N," Introduction to the fundamentals of the data science domain. Fundamentals of the R programming language and related tools for usage in Data Science. Problem Solving using R. Basic statistics, data gathering, preparation, and analysis, data visualization, case studies, and some ethical issues", N, N,N
601,DSCI 000/1412,Fundamentals of Data Science II,3 cr," ,DSCI 1411, ,"," Fundamentals of Python programming in the context of Data Science with a focus on relevant packages. Coverage of techniques for database handling, data manipulation, visualization and summarization. Study of probability basics and further statistics required for assessing sampling techniques, designing estimators, hypothesis testing and fitness tests. Focus on simulation basics, analytics, data interpretation and basic machine learning models such as regression and kNN classifiers", N, N,N
602,DSCI 000/2411,Data Visualization,3 cr," ,DSCI 1412, ,"," The amount and complexity of information produced in science, engineering, business, and everyday human activity is increasing at staggering rates. The course discusses visual representation methods and techniques that increase the understanding of complex data. Good visualizations not only present a visual interpretation of data, but do so by improving comprehension, communication, and decision making. In this course, you will learn how the human visual system processes and perceives images, good design practices for visualization, tools for visualization of data from a variety of fields, and programming of interactive visualizations using 3D", N, N,N
603,DSCI 000/3411,Fundamentals of Simulation,3 cr," ,DSCI 1412, , ,,MACT 2132, , and ,MACT 3211, ,"," This course is an introduction to fundamental tools in designing, conducting, and interpreting simulation experiments. Topics covered include Random number generation; Continuous, discrete, and rare event simulations. Variance reduction techniques, Bootstrap and Jacknife; Simulation; Markov Chain Monte Carlo. The course includes an applied project (a thorough application of simulation to real-world problems such as finance, statistics) using computer programming language such as R or Python)", N, N,N
604,DSCI 000/3413,Biostatistics,3 cr," ,MACT 4231, ,"," This course is an introduction to important topics in biological, medical, health, and environmental statistical concepts and reasoning. Topics include: Introduction to Biological data Processing and Analysis, Hypothesis testing, nonparametric tests, Logistic regression, Poisson regression, Statistical methodologies in analysis of survival data (Kaplan-Meier estimator, Cox’s proportional hazards models, time-dependent covariates, multiple failure outcomes). Typical biomedical applications, including clinical trials. The course includes an applied project using computer programming language such as R or Python", N, N,N
605,DSCI 000/3415,Fundamentals of Machine Learning,3 cr," ,MACT 3223,"," Topics include: Support Vector Machines, Kernel PCA, Ensemble learning, bagging and boosting Vector Quantization, Mixture Modelling, and Expectation-Maximization, Introduction to Neural Networks. Case Studies: Face recognition, speech recognition, and more", N, N,N
606,DSCI 000/4411,Fundamentals of Data Mining,3 cr," ,DSCI 3415, ,"," Introduction to the fundamental concepts of data mining, motivation for and applications of data mining, text and web mining, and survey of techniques and models. Topics include: data pre-processing, frequent pattern mining, clustering, classification, and case studies using data sets taken from real-life applications, and use of data mining software", N, N,N
607,DSCI 000/4412,Introduction to Big Data Technologies,3 cr," ,DSCI 1412, ,"," The course introduces Big Data problems and associated frameworks and technologies. First, the course motivates the topic using real-world big data problems. Second, it sheds light on handling big data, from data collection, to monitoring, storage, analysis and reporting. The course also includes programming models used for scalable big data analysis. It also introduces one of the most common Big Data frameworks, namely Hadoop, in addition to the Map-Reduce Programming Model. Finally, it solves sample case studies using the covered Big Data analytics tools", N, N,N
608,DSCI 000/4413,Analysis of Categorical Data,3 cr," ,MACT 2132, , and ,MACT 3223, ,"," The analysis of discretely measured responses such as counts, proportions, nominal variables, ordinal variables, discrete interval variables with few values, continuous variables grouped into a small number of categories, etc. Topics include: Detection of outliers in categorical data; Inference and distributions for discrete data; Inference for contingency tables; Generalized linear models for count data; Models for binary and multinomial response (logistic regression, Poisson regression, Loglinear models); Classification and regression trees; Cluster analysis for categorical data; The course includes an applied project using computer programming language such as R or Python", N, N,N
609,DSCI 000/4415,Advanced Machine Learning,3 cr," ,DSCI 3415, ,"," Perceptron and multilayer neural networks, Gradient descent, Back-propagation, Convolutional Neural Network (CNN), pooling layers, CNN applications, Recurrent Neural Networks (RNN), vanishing gradient problem, case studies: object detection, and stock price estimation, GANs", N, N,N
610,DSCI 000/4416,Capstone l (Data Science Senior Project l),Data Science Senior Project l) (1 cr, Senior standing," A capstone project divided between two courses DSCI 4416 and ,DSCI 4417, ,. With the approval of the advisor, topics/data in an area of applications are selected by groups of 1 to 3 students who have common interests in the same area of application. A preliminary data examination, pre-processing, and exploratory data analysis are carried out on the selected data. Students will decide on the data science techniques, models, and methods to be used for the analysis. Students will submit a brief written proposal specifying their plan of work that they will follow in ,DSCI 4417, ,", N, N,N
611,DSCI 000/4417,Capstone II (Data Science Project II),Data Science Project II) (2 cr," ,DSCI 4416, ,"," This is a continuation of ,DSCI 4416, ,, where students will implement their plan for the completion of the project. Students will develop and write well-documented computer programs to illustrate the iterative process of Data Science and business solutions are sought. The students will submit a carefully written project. The project is then submitted and presented orally to the advisors", N, N,N
612,DSCI 000/4950,Industrial Training,3 cr, Consent of department chair or program director.," This course consists of participation in a full-time or part-time internship experience, related to the student’s field of study under the supervision of both an approved internship provider and a faculty adviser. This culminating course provides practical, hands-on training in a relevant industry to enhance classroom learning and allows senior students to apply the knowledge and skills they have acquired in their program to real-world problems.", N," All semesters.,Economics,",N
613,ECON 199/1099,Selected Topics for Core Curriculum,3 cr," ,RHET 1000,"," This course introduces the concept of economic rationality while exploring applications of this logic to historical and contemporary problems facing individuals, firms, and societies. The course will explore the fundamentally economic nature of the human condition specifically addressing issues such as scarcity, public goods, poverty and inequality, environmental conservation, underground markets, and health care.", N, Offered in fall and spring., This course does not count as part of Economics major or minor requirements
614,ECON 202/2011,Introduction to Microeconomics,3 cr, N," Fundamental economic concepts and methods of economic analysis with emphasis on microeconomic issues. Analyzes basic principles of market economics including resource allocation, opportunity cost, core elements of demand and supply, market equilibrium, elasticity, pricing, market structure, and trade exchange. Labor and capital markets, market efficiency, regulation, and social welfare implications", N," Offered in fall and spring.,",N
615,ECON 201/2021,Introduction to Macroeconomics,3 cr, N," Fundamental economic concepts and methods of economic analysis with emphasis on macroeconomic issues. Analyzes aggregate economic activity in relation to the level, stability and growth of national income. Topics analyzed include the determination and effects of national income, consumption, investment, unemployment, inflation, interest rates, and how these may be influenced by monetary, fiscal and other policies.", N," Offered in fall and spring.,",N
616,ECON 215/2051,Economic History of the Modern Middle East,3 cr, N," Historical survey of the economic conditions, systems, and institutions of the Middle East with special emphasis on the period 1800-1945.", N," Offered in fall and spring.,",N
617,ECON 216/2061,Mathematics for Economists I,3 cr," ,MACT 1111, , or equivalent."," Algebraic methods. Calculus of a single variable. Composite functions, limits and asymptotes, continuity, simple and implicit differentiation, Taylor’s theorem, maxima and minima and points of inflection, logarithmic and exponential functions. Introduction to integral calculus. Applications to economic theory and business finance.", N," Offered in fall and spring.,",N
618,ECON 218/2081,Statistics for Economists,3 cr," ,MACT 2222, , ."," The course covers descriptive and sample inferential statistical techniques, including main descriptive statistics and data sources and types. Topics include point estimation and statistical estimators’ desirable properties, hypothesis testing, correlation, and analysis of variance (ANOVA). Applications in Economics and Business are emphasized.", N," Offered in fall and spring.,",N
619,ECON 302/3011,Intermediate Microeconomic Theory,3 cr," For Economics students ,ECON 2011, , and ,ECON 3061, ,", N, N, N,N
620,ECON 301/3021,Intermediate Macroeconomic Theory,3 cr," ,ECON 2021, , and ( ,ECON 2061, , or ,MACT 1122, , )."," This course covers aggregate economic behavior using Keynesian and Neoclassical macroeconomic analysis. Various theories of how a nation’s income, employment and price level behave under static and dynamic conditions are examined. Topics covered include: income determination, unemployment, price stability, budget deficits, balance of payments equilibrium and economic growth, in addition to the impact of fiscal, monetary and exchange rate policy on macroeconomic performance.", N," Offered in fall and spring.,",N
621,ECON 303/3041,Monetary Economics,3 cr," ,FINC 2101, , plus ,ECON 2021, , and ,ECON 2011, ,", N, N, N,N
622,ECON 312/3053,Economic Development,3 cr," ,ECON 2021, , and ,ECON 2011,"," Major economic problems of developing countries. Alternative explanations of underdevelopment and theories of development. Major domestic and international aspects of development including population growth, capital accumulation and international economic relations. Sustainable development.", N," Offered in fall and spring.,",N
623,ECON 000/3054,Environmental and Natural Resource Economics,3 cr," ,ECON 2021, , and ,ECON 2011, ,"," The course discusses basic environmental and natural resource models and environmental policies as applied to energy, minerals, water, fisheries, pollution control, and sustainable development. It includes an Community Based Learning (CBL).", N," Offered once a year.,",N
624,ECON 320/3055,The Digital Economy: The Economics of New Technologies and Development,3 cr," ,ECON 2021, , and ,ECON 2011, , ."," The course engages students in timely debates related to the digital economy and inclusive development, with focus on the interests and realities of developing countries and their global position amidst these deliberations. In the age of what has been coined the ‘Fourth Industrial Revolution’, new digital technologies such as artificial intelligence and machine learning are expected to infiltrate and transform all aspects of human lives and shape the future of economies. This raises important questions on challenges and opportunities associated with these technologies, and whether they are promoting equitable growth or exacerbating existing inequalities, especially in the context of developing countries", N, N,N
625,ECON 316/3061,Mathematics for Economists II,3 cr," ,MACT 1122, , or ,ECON 2061, ,"," The first part of the course is matrix algebra which covers the following: determinant, rank, matrix inverse, Cramer’s rule, eigenvalues and eigenvectors. The second part discusses multivariate functions and partial derivatives as well as unconstrained and constrained optimization. Homogeneous and homothetic properties of multivariate functions are also discussed. The third part of the course is advanced integral calculus. Economic applications are emphasized throughout the course.", N," Offered in fall and spring.,",N
626,ECON 308/3071,Labor Economics,3 cr," ,ECON 2021, , and ,ECON 2011,"," The course offers a general treatment of modern theoretical and empirical labor economics. Topics to be covered include: operation of labor markets; wage determination; firm, industry and public sector labor demand; human capital investment; race and gender employment and wage discrimination; public policy effects. The relation of labor market outcomes and attendant public policy to poverty, income distribution and economic growth is covered", N," Offered in fall and spring.,",N
627,ECON 318/3081,Introduction to Econometrics,3 cr," ,ECON 2081, , and ,ECON 3061, ,"," The course covers regression methods for analyzing data in economics, including multiple regression with indicator variables, regression with heteroskedastic and correlated errors, hypothesis and diagnostic testing. The course emphasizes practical applications using econometrics software.", N," Offered in fall and spring.,",N
628,ECON 420/4000,Independent Study,1-3 cr," Consent of instructor and unit head, senior standing."," Guided reading, research, and discussion based on a subject of mutual interest to a student and faculty member.", N," Offered in fall and spring.,",N
629,ECON 000/4002,Senior Thesis,3 cr," Senior Standing.,"," This course provides students with the opportunity to conduct original research work, in accordance with university regulation, on a selected topic of mutual interest between the student and the faculty supervisor. Individual guidance is then provided to the student on qualitative and quantitative research methodology, with the aim of producing a high-quality, original thesis. After the submission of the thesis, the student presents a defense seminar in front of a panel of faculty members. Subsequently, the thesis is approved and finalized upon the successful incorporation of faculty comments and suggestions", N, N,N
630,ECON 413/4012,Feasibility Study,3 cr," ,ECON 2011, , and ,ECON 2021, ,"," ,This course develops the analytical tools and applied case study analysis to financial and economic project evaluation. Cost-benefit analysis, shadow pricing, multiple criteria for project feasibility, economic worth of investment projects, cash flow discounting, and financial and economic rates of return. Applications to real life cases including investment and development projects as well as entrepreneurship ventures and risk assessment.", N," ,Offered occasionally,",N
631,ECON 000/4013,Behavioral Economics,3 cr," ,ECON 2011, ,"," The course will expose students to the science of behavioral economics. It will cover a range of topics including individual decisions, markets and public choice. Topics include extensions and shortcomings of the rational choice model and deviations from the Expected Utility Theory; Prospect theory and preference dependence; time preferences; social preferences, behavioral trust and fairness.", N," Offered in spring.,",N
